t,V,V_sum,sea_level,sea_level_cumulative
2071.5,368327253.95083654,101704402824.88576,0.0009332537409755911,0.2576947901408411
2071.75,367353602.75193125,102071756427.6377,0.0009307867401928986,0.25862557688103405
2072.0,366383182.9584597,102438139610.59616,0.0009283279270237405,0.2595539048080578
2072.25,365415985.38970065,102803555595.98586,0.0009258772782063513,0.26047978208626416
2072.5,364452000.88877976,103168007596.87463,0.0009234347705393867,0.26140321685680357
2072.75,363491220.3227119,103531498817.19734,0.0009210003808820329,0.2623242172376856
2073.0,362533634.5823056,103894032451.77965,0.000918574086153763,0.2632427913238394
2073.25,361579234.58207625,104255611686.36172,0.0009161558633341177,0.2641589471871735
2073.5,360628011.26026386,104616239697.622,0.0009137456894627509,0.2650726928766362
2073.75,359679955.5787551,104975919653.20074,0.0009113435416392304,0.26598403641827545
2074.0,358735058.52301276,105334654711.72375,0.0009089493970228616,0.2668929858152983
2074.25,357793311.10205203,105692448022.8258,0.0009065632328326248,0.2677995490481309
2074.5,356854704.34835553,106049302727.17416,0.0009041850263469621,0.2687037340744779
2074.75,355919229.3178836,106405221956.49205,0.0009018147549038021,0.2696055488293817
2075.0,354986877.08996224,106760208833.58202,0.0008994523959002769,0.270505001225282
2075.25,354057638.76725835,107114266472.34927,0.000897097926792658,0.27140209915207464
2075.5,353131505.4757415,107467397977.82501,0.0008947513250962614,0.2722968504771709
2075.75,352208468.36461025,107819606446.18962,0.0008924125683852593,0.27318926304555613
2076.0,351288518.6062671,108170894964.79588,0.0008900816342926169,0.27407934467984874
2076.25,350371647.39622676,108521266612.19211,0.0008877585005098608,0.2749671031803586
2076.5,349457845.953132,108870724458.14523,0.0008854431447871184,0.2758525463251457
2076.75,348547105.51865137,109219271563.66388,0.0008831355449328588,0.2767356818700786
2077.0,347639417.3574092,109566910981.02129,0.0008808356788137158,0.27761651754889227
2077.25,346734772.75701696,109913645753.7783,0.000878543524354567,0.27849506107324684
2077.5,345833163.02797323,110259478916.80627,0.0008762590595382807,0.2793713201327851
2077.75,344934579.5035908,110604413496.30986,0.0008739822624055308,0.28024530239519063
2078.0,344039013.539995,110948452509.84985,0.0008717131110547927,0.2811170155062454
2078.25,343146456.5160357,111291598966.36589,0.0008694515836421205,0.2819864670898875
