t,V,V_sum,sea_level,sea_level_cumulative
2037.0,134548270.51698866,10026099224.833338,0.00034091334663640175,0.025403753071764613
2037.25,134168479.92337844,10160267704.756716,0.0003399510475166048,0.025743704119281216
2037.5,133789877.14457244,10294057581.901289,0.0003389917580372778,0.026082695877318495
2037.75,133412458.93205386,10427470040.833344,0.0003380354699674509,0.026420731347285946
2038.0,133036222.04519789,10560506262.878542,0.00033708217509615095,0.026757813522382098
2038.25,132661163.25124976,10693167426.129791,0.0003361318652323454,0.027093945387614442
2038.5,132287279.32530683,10825454705.455097,0.0003351845322048974,0.02742912991981934
2038.75,131914567.05030432,10957369272.505402,0.000334240167862529,0.027763370087681868
2039.0,131543023.2170018,11088912295.722403,0.00033329876407378774,0.028096668851755654
2039.25,131172644.62396306,11220084940.346365,0.0003323603127269948,0.028429029164482648
2039.5,130803428.07755214,11350888368.423918,0.00033142480573023576,0.028760453970212884
2039.75,130435370.39190723,11481323738.815825,0.0003304922350112936,0.029090946205224177
2040.0,130068468.38893253,11611392207.204758,0.00032956259251762875,0.029420508797741805
2040.25,129702718.89827791,11741094926.103035,0.00032863587021632736,0.02974914466795813
2040.5,129338118.75732754,11870433044.860363,0.0003277120600940723,0.030076856728052204
2040.75,128974664.81118199,11999407709.671545,0.0003267911541570983,0.0304036478822093
2041.0,128612353.91264963,12128020063.584194,0.0003258731444311694,0.03072952102664047
2041.25,128251182.92222896,12256271246.506424,0.0003249580229615349,0.031054479049602006
2041.5,127891148.7080817,12384162395.214506,0.0003240457818128606,0.031378524831414865
2041.75,127532248.146043,12511694643.36055,0.0003231364130692553,0.03170166124448412
2042.0,127174478.11957982,12638869121.48013,0.0003222299088341648,0.03202389115331829
2042.25,126817835.51979043,12765686956.99992,0.00032132626123037076,0.032345217414548655
2042.5,126462317.2453943,12892149274.245314,0.0003204254623999653,0.03266564287694862
2042.75,126107920.20270665,13018257194.44802,0.0003195275045042863,0.032985170381452905
2043.0,125754641.3056274,13144011835.753649,0.00031863237972388933,0.033303802761176796
2043.25,125402477.47562526,13269414313.229275,0.0003177400802585078,0.0336215428414353
2043.5,125051425.64173003,13394465738.871004,0.00031685059832703275,0.033938393439762335
