t,V,sum,sea_level,sea_level_cumulative
2078.0,17201950.67699975,5547422625.492493,4.358565555273963e-05,0.014055850775312271
2078.25,17157322.825801786,5564579948.318295,4.347257918210603e-05,0.014099323354494377
2078.5,17112844.99166395,5581692793.309958,4.33598829190563e-05,0.014142683237413434
2078.75,17068516.745795913,5598761310.055755,4.324756567713764e-05,0.01418593080309057
2079.0,17024337.66053782,5615785647.716292,4.31356263727616e-05,0.014229066429463333
2079.25,16980307.309355374,5632765955.025648,4.302406392519161e-05,0.014272090493388526
2079.5,16936425.2668418,5649702380.29249,4.2912877256548e-05,0.014315003370645073
2079.75,16892691.10870964,5666595071.401199,4.280206529178717e-05,0.01435780543593686
2080.0,16849104.411793742,5683444175.812993,4.269162695870916e-05,0.01440049706289557
2080.25,16805664.754045393,5700249840.567039,4.258156118794282e-05,0.014443078624083514
2080.5,16762333.208692363,5717012173.775731,4.2471769348296964e-05,0.014485550393431811
2080.75,16718846.395180408,5733731020.170912,4.2361584096030626e-05,0.014527911977527843
2081.0,16675107.695151147,5750406127.866063,4.225076062318176e-05,0.014570162738151024
2081.25,16631113.491924407,5767037241.357987,4.2139289765942195e-05,0.014612302027916966
2081.5,16586860.125848634,5783624101.483836,4.2027162251624485e-05,0.01465432919016859
2081.75,16542343.893520283,5800166445.377357,4.191436869668402e-05,0.014696243558865275
2082.0,16497561.046984501,5816664006.424341,4.18008996046938e-05,0.014738044458469969
2082.25,16452507.792918732,5833116514.21726,4.168674536427581e-05,0.014779731203834245
2082.5,16407180.291797068,5849523694.509057,4.157189624698373e-05,0.014821303100081229
2082.75,16361574.657036617,5865885269.166094,4.145634240514004e-05,0.014862759442486368
2083.0,16315686.95412443,5882200956.120218,4.134007386962382e-05,0.014904099516355991
2083.25,16269513.199726226,5898470469.319944,4.1223080547612506e-05,0.014945322596903603
2083.5,16223049.360772274,5914693518.6807165,4.110535222026573e-05,0.01498642794912387
2083.75,16176291.353527049,5930869810.034244,4.098687854036803e-05,0.015027414827664239
2084.0,16129230.930333015,5946999040.964577,4.0867638610314986e-05,0.015068282466274554
2084.25,16081779.412129017,5963080820.376706,4.074740773843722e-05,0.015109029874012992
2084.5,16033884.419780461,5979114704.796487,4.06260532084538e-05,0.015149655927221445
2084.75,15985540.560948811,5995100245.357435,4.0503561357460185e-05,0.015190159488578905
2085.0,15936742.372002227,6011036987.729438,4.037991834191154e-05,0.015230539406920816
2085.25,15887484.316660447,6026924472.046099,4.025511013418919e-05,0.015270794517055005
2085.5,15837760.784611236,6042762232.83071,4.012912251909503e-05,0.0153109236395741
2085.75,15787566.090095825,6058549798.920806,4.000194109026738e-05,0.015350925580664369
2086.0,15736894.470458683,6074286693.391265,3.9873551246506405e-05,0.015390799131910875
2086.25,15685740.084665159,6089972433.47593,3.974393818801824e-05,0.015430543070098893
2086.5,15634097.011781905,6105606530.487712,3.9613086912564685e-05,0.015470156157011458
2086.75,15581959.24942549,6121188489.737138,3.948098221153239e-05,0.01550963713922299
2087.0,15529320.712168591,6136717810.4493065,3.934760866589452e-05,0.015548984747888885
2087.25,15476175.229910513,6152193985.679217,3.9212950642082025e-05,0.015588197698530967
2087.5,15422516.546210626,6167616502.225428,3.907699228776098e-05,0.01562727469081873
2087.75,15368338.316578757,6182984840.5420065,3.893971752750084e-05,0.01566621440834623
2088.0,15313634.10672402,6198298474.64873,3.88011100583374e-05,0.01570501551840457
2088.25,15258397.39076284,6213556872.039494,3.866115334523232e-05,0.0157436766717498
2088.5,15202621.549381474,6228759493.588875,3.851983061641745e-05,0.015782196502366216
2088.75,15146299.867954785,6243905793.45683,3.8377124858628186e-05,0.015820573627224846
2089.0,15089425.534616893,6258995218.9914465,3.8233018812215e-05,0.01585880664603706
2089.25,15031991.638284761,6274027210.629731,3.808749496613566e-05,0.015896894141003197
2089.5,14973991.166633077,6289001201.796364,3.794053555282407e-05,0.01593483467655602
2089.75,14915417.004016163,6303916618.80038,3.7792122542924884e-05,0.015972626799098947
2090.0,14856261.929341163,6318772880.729721,3.764223763990464e-05,0.016010269036738852
2090.25,14796518.61388431,6333569399.343605,3.7490862274518736e-05,0.016047759899013372
2090.5,14736179.619052527,6348305578.962658,3.7337977599139856e-05,0.01608509787661251
2090.75,14675237.394087799,6362980816.356746,3.7183564481941366e-05,0.01612228144109445
2091.0,14613684.273714662,6377594500.630461,3.702760350093663e-05,0.016159309044595387
2091.25,14551512.475720592,6392146013.106181,3.687007493784831e-05,0.016196179119533236
2091.5,14488714.098486489,6406634727.204668,3.6710958771851136e-05,0.016232890078305088
2091.75,14425281.118435359,6421060008.323103,3.655023467310756e-05,0.016269440312978195
2092.0,14361205.38743151,6435421213.710534,3.6387881996177844e-05,0.01630582819497437
2092.25,14296478.630094934,6449717692.340629,3.6223879773215435e-05,0.016342052074747586
2092.5,14231092.441062883,6463948784.781692,3.605820670702836e-05,0.016378110281454614
2092.75,14165038.28216164,6478113823.063853,3.5890841163913246e-05,0.016414001122618527
2093.0,14098307.479512205,6492212130.5433655,3.572176116632175e-05,0.01644972288378485
2093.25,14030891.220556496,6506243021.763922,3.555094438532571e-05,0.016485273828170176
2093.5,13962780.551002998,6520205802.314925,3.5378368132878096e-05,0.016520652196303054
2093.75,13893966.371690385,6534099768.686616,3.520400935386623e-05,0.01655585620565692
2094.0,13824439.435363946,6547924208.12198,3.502784461794397e-05,0.016590884050274864
2094.25,13754190.34336457,6561678398.465344,3.4849850111142395e-05,0.016625733900386006
2094.5,13683209.54222876,6575361608.007573,3.467000162725508e-05,0.01666040390201326
2094.75,13611487.320189536,6588973095.327763,3.448827455897214e-05,0.016694892176572232
2095.0,13539013.803586531,6602512109.13135,3.430464388878438e-05,0.016729196820461017
2095.25,13465778.95317092,6615977888.08452,3.411908417962074e-05,0.016763315904640638
2095.5,13391772.560306963,6629369660.644827,3.3931569565224016e-05,0.01679724747420586
2095.75,13316984.24306911,6642686644.887896,3.3742073740261764e-05,0.01683098954794612
2096.0,13241403.4422254,6655928048.330121,3.355056995014924e-05,0.01686454011789627
2096.25,13165019.417106505,6669093067.747228,3.3357030980582526e-05,0.016897897148876854
2096.5,13087821.24135927,6682180888.988587,3.3161429146779e-05,0.01693105857802363
2096.75,13009797.798571616,6695190686.787159,3.296373628239191e-05,0.016964022314306024
2097.0,12930937.777777763,6708121624.564937,3.276392372812163e-05,0.016996786238034144
2097.25,12851229.6688262,6720972854.233763,3.2561962319979225e-05,0.017029348200354122
2097.5,12770661.75761618,6733743515.991379,3.235782237721687e-05,0.017061706022731337
2097.75,12689222.121189723,6746432738.112569,3.215147368989212e-05,0.017093857496421228
2098.0,13256624.344641095,6759689362.45721,3.358913610013706e-05,0.017127446632521366
2098.25,14063671.22051839,6773753033.677728,3.563400111616892e-05,0.017163080633637535
2098.5,14878692.416588238,6788631726.094316,3.7699071164740766e-05,0.017200779704802275
2098.75,15701825.034702633,6804333551.129018,3.978469362936791e-05,0.017240564398431642
2099.0,16533209.345351243,6820866760.474369,4.189122392214063e-05,0.017282455622353782
2099.25,17372988.87940773,6838239749.353777,4.401902571618752e-05,0.01732647464806997
2099.5,18221310.5230968,6856461059.876874,4.616847118629944e-05,0.01737264311925627
2099.75,19078324.61628521,6875539384.493159,4.833994125797555e-05,0.017420983060514247
2100.0,19944185.054258615,6895483569.547418,5.053382586530168e-05,0.01747151688637955
2100.25,20819049.393122878,6916302618.94054,5.2750524218012215e-05,0.017524267410597563
2100.5,21703078.958970055,6938005697.89951,5.4990445078090696e-05,0.017579257855675653
