t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
573.0,2.1716295195165816,4.430918880444321,2.265063856225914,4.44408096593828,2.2451953878721285,4.410959869317663,2.273355637957919,4.457040780492386,2.2672983703282257,4.447367391217827,2.2657282734000055,4.444274222548966,2.2356527699702085,4.398044770368379,2.244691266524073,4.411006165275243,2.249109278015772,4.419545667435669,2.2574330120960067,4.431073174249545,2.2507673412091456,4.420953353976118,2.25542951935994,4.428434636082008
573.25,2.171622923044506,4.430910782033646,2.2650469473195844,4.444061196623502,2.2451788559708072,4.410946476306799,2.2733377067347686,4.457020187356492,2.2672809751660363,4.447347862144017,2.2657104184390384,4.44425627148288,2.235639393571342,4.398027889007822,2.244675628267593,4.410991003367535,2.249094728133735,4.419526544086447,2.2574159474798394,4.4310565279489875,2.250751402377538,4.420936664795198,2.2554132003460277,4.4284170623119685
573.5,2.171616324266106,4.430902679988352,2.265030040890608,4.44404141412969,2.2451623321335052,4.4109330576535095,2.2733197789942823,4.456999579300644,2.2672635835931354,4.447328317668198,2.2656925694748407,4.444238299932774,2.23562601635197,4.398011000173385,2.244659994778791,4.4109758226692755,2.249080177236498,4.419507414193927,2.2573988887235057,4.431039861100299,2.250735467356263,4.420919959064948,2.2553968849533397,4.428399472588664
573.75,2.171609723181563,4.430894574308715,2.2650131369209197,4.444021618495093,2.2451458163204254,4.410919613441299,2.2733018547145956,4.456978956370918,2.2672461955871417,4.447308757837566,2.2656747264755657,4.4442203079654945,2.235612638305945,4.397994103878674,2.2446443660304967,4.410960623237771,2.24906562531907,4.419488277769243,2.2573818357956705,4.431023173769335,2.250719536121869,4.420903236834908,2.25538057315917,4.42838186696003
574.0,2.1716031197910546,4.430886464995012,2.264996235392526,4.4440018097578085,2.245129308491925,4.4109061437533565,2.2732839338739317,4.456958318613211,2.267228811125763,4.447289182699132,2.265656889409494,4.444202295647628,2.235599259427145,4.3979772001372455,2.2446287419956463,4.410945405130111,2.249051072376479,4.419469134823489,2.257364788665123,4.431006466021693,2.2507036086509946,4.420886498154428,2.2553642649409023,4.42836424547381
574.25,2.17159651409476,4.430878352047519,2.264979336287505,4.443981987955789,2.2451128086085137,4.410892648672549,2.2732660164506013,4.456937666073237,2.2672114301867947,4.447269592299724,2.265639058245031,4.444184263045498,2.2355858797094714,4.397960288962604,2.24461312264728,4.410930168403166,2.2490365184037735,4.419449985367718,2.2573477473007744,4.43098973792272,2.250687684920371,4.42086974307267,2.2553479602760116,4.428346608177568
574.5,2.171589906092858,4.4308702354665135,2.264962439588005,4.443962153126837,2.245096316630856,4.410879128281429,2.2732481024230013,4.456916998796532,2.267194052748122,4.447249986685989,2.2656212329507084,4.444166210225171,2.235572499146848,4.397943370368208,2.244597507958542,4.410914913113591,2.249021963396021,4.419430829412944,2.257330711671658,4.430972989537505,2.2506717649068197,4.420852971638605,2.2553316591420582,4.428328955118681
574.75,2.171583295785528,4.430862115252272,2.2649455452762455,4.443942305308609,2.245079832519767,4.410865582662232,2.2732301917696156,4.456896316828451,2.2671766787877163,4.447230365904388,2.2656034134951817,4.444148137252452,2.2355591177332244,4.397926444367462,2.244581897902681,4.410899639317826,2.24900740734831,4.419411666970135,2.2573136817469295,4.43095622093089,2.250655848587251,4.420836183901019,2.255315361516692,4.4283112863443455
575.0,2.1715766831729493,4.430853991405072,2.264928653334517,4.4439224445386145,2.245063356236215,4.410852011896878,2.2732122844690137,4.45687562021417,2.267159308283638,4.447210730001202,2.2655855998472316,4.444130044192891,2.2355457354625723,4.397909510973725,2.2445662924530474,4.410884347072096,2.2489928502557466,4.419392498050223,2.257296657495864,4.430939432167461,2.250639935938667,4.420819379908512,2.2552990673776514,4.4282936019015775
575.25,2.1715700682553,4.430845863925189,2.264911763745179,4.443902570854218,2.245046887741318,4.410838416066977,2.273194380499851,4.456854908998688,2.267141941214034,4.447191079022531,2.2655677919757617,4.444111931111778,2.235532352328887,4.397892570200305,2.244550691583097,4.41086903643241,2.248978292113458,4.419373322664096,2.257279638887859,4.430922623311559,2.2506240269381586,4.420802559709495,2.2552827767027606,4.428275901837205
575.5,2.1715634510327595,4.4308377328129,2.2648948764906627,4.443882684292637,2.245030426996346,4.4108247952538235,2.273176479840868,4.456834183226826,2.267124577557137,4.447171413014295,2.2655499898497995,4.444093798074151,2.235518968326188,4.397875622060463,2.244535095266386,4.410853707454566,2.24896373291659,4.419354140822603,2.257262625892431,4.430905794427271,2.2506081215629052,4.420785723352195,2.255266489469931,4.428258186197883
575.75,2.1715568315055065,4.430829598068481,2.264877991553467,4.443862784890947,2.245013973962718,4.410811149538403,2.2731585824708906,4.456813442943231,2.267107217291268,4.447151732022234,2.2655321934384953,4.444075645144792,2.2355055834485174,4.397858666567409,2.244519503476574,4.41083836019415,2.248949172660308,4.419334952536553,2.2572456184792165,4.430888945578437,2.250592219790176,4.420768870884657,2.255250205657163,4.428240455030082
576.0,2.17155020967372,4.43082145969221,2.2648611089161617,4.443842872686077,2.2449975286020036,4.410797479001389,2.2731406883688297,4.456792688192371,2.267089860394832,4.447132036091911,2.2655144027111214,4.444057472388227,2.2354921976899407,4.397841703734305,2.2445039161874227,4.4108229947065345,2.2489346113397963,4.4193157578167135,2.257228616617971,4.430872076828653,2.250576321597328,4.420752002354736,2.2552339252425413,4.428222708380091
576.25,2.1715435855375778,4.430813317684364,2.264844228561384,4.443822947714813,2.24498109087592,4.41078378372315,2.27312279751368,4.456771919018539,2.2670725068463224,4.447112325268708,2.2654966176370723,4.444039279868734,2.2354788110445463,4.397824733574267,2.2444883333727943,4.4108076110468835,2.2489200489502594,4.419296556673814,2.2572116202785693,4.430855188241264,2.250560426961807,4.420735117810111,2.2552176482042356,4.428204946294028
576.5,2.17153695909726,4.430805172045218,2.264827350471842,4.443803010013799,2.2449646607463323,4.410770063783744,2.27310490988452,4.456751135465857,2.2670551566243153,4.447092599597831,2.2654788381858637,4.4440210676503344,2.235465423506446,4.39780775610036,2.2444727550066528,4.4107922092701495,2.2489054854869193,4.419277349118541,2.257194629431004,4.430838279879372,2.2505445358611462,4.420718217298272,2.255201374520504,4.428187168817827
576.75,2.1715303303529443,4.430797022775051,2.264810474630311,4.443783059619534,2.244948238175255,4.410756319262925,2.273087025460513,4.456730337578269,2.2670378097074737,4.447072859124312,2.265461064327132,4.444002835796803,2.235452035069774,4.397790771325603,2.244457181063062,4.410776789431077,2.2488909209450183,4.419258135161544,2.2571776440453855,4.430821351805834,2.2505286482729665,4.420701300866532,2.255185104169689,4.428169375997244
577.0,2.1715236993048097,4.430788869874139,2.264793601019634,4.443763096568379,2.2449318231248485,4.41074255024014,2.2730691442209046,4.456709525399548,2.2670204660745443,4.447053103893001,2.2654432960306337,4.4439845843716625,2.2354386457286886,4.397773779262966,2.2444416115161863,4.410761351584203,2.248876355319817,4.419238914813433,2.2571606640919417,4.430804404083266,2.250512764174976,4.4206843685620205,2.2551688371302174,4.428151567877863
577.25,2.1715170659530347,4.430780713342758,2.264776729622724,4.443743120896549,2.24491541555742,4.410728756794534,2.2730512661450235,4.456688698973296,2.267003125704359,4.447033333948579,2.2654255332662463,4.443966313438189,2.2354252554773693,4.3977567799253725,2.24442604634029,4.410745895783854,2.248861788606596,4.419219688084776,2.2571436895410177,4.430787436774037,2.250496883544969,4.420667420431688,2.2551525733806015,4.428133744505088
577.5,2.171510430297798,4.4307725531811855,2.26475986042256,4.443723132640123,2.244899015435422,4.41071493900495,2.2730333912122815,4.456667858342941,2.2669857885758327,4.447013549335549,2.2654077760039657,4.443948023059409,2.235411864310019,4.397739773325697,2.244410485509737,4.410730422084153,2.2488472208006525,4.419200454986103,2.257126720363074,4.430770449940279,2.2504810063608267,4.420650456522304,2.2551363128994373,4.42811590592415
577.75,2.1715037923392777,4.430764389389699,2.2647429934021894,4.443703131835037,2.2448826227214536,4.410701096949928,2.273015519402173,4.456647003551741,2.2669684546679654,4.4469937500982395,2.265390024213907,4.443929713298104,2.235398472220864,4.3977227594767685,2.2443949289989904,4.410714930539015,2.2488326518973043,4.419181215527907,2.257109756528688,4.43075344364388,2.2504651326005165,4.42063347688046,2.255120055665405,4.428098052180108
578.0,2.1714971520776527,4.430756221968575,2.264726128544726,4.443683118517088,2.244866237378258,4.410687230707707,2.2729976506942733,4.456626134642784,2.2669511239598394,4.446973936280809,2.265372277866304,4.4439113842168085,2.2353850792041516,4.397705738391368,2.2443793767826112,4.410699421202153,2.2488180818918875,4.419161969720638,2.257092798008552,4.430736417946491,2.2504492622420917,4.420616481552569,2.255103801657269,4.428080183317841
578.25,2.171490509513101,4.43074805091809,2.264709265833351,4.443663092721932,2.2448498593687223,4.410673340356231,2.2729797850682405,4.4566052516589885,2.266933796430621,4.446954107927241,2.265354536931508,4.443893035877814,2.2353716852541523,4.39768871008223,2.2443638288352594,4.4106838941270725,2.2488035107797564,4.419142717574711,2.2570758447734733,4.430719372909524,2.2504333952636904,4.420599470584866,2.2550875508538777,4.428062299382061
578.5,2.171483864645801,4.430739876238521,2.2646924052513127,4.443643054485091,2.244833488655878,4.410659425973142,2.2729619225038133,4.456584354643103,2.2669164720595583,4.446934265081349,2.2653368013799886,4.443874668343166,2.235358290365159,4.3976716745620426,2.244348285131693,4.410668349367077,2.2487889385562836,4.419123459100499,2.2570588967943745,4.43070230859415,2.2504175316435364,4.4205824440234105,2.2550713032341596,4.428044400417303
578.75,2.1714772174759323,4.4307316979301445,2.2646755467819246,4.443623003841944,2.244817125202899,4.410645487635787,2.2729440629808124,4.456563443637708,2.2668991508259824,4.446914407786772,2.2653190711823314,4.443856281674669,2.235344894531487,4.397654631843446,2.244332745646767,4.410652786975268,2.2487743652168612,4.419104194308339,2.2570419540422915,4.430685225061309,2.250401671359938,4.420565401914083,2.255055058777129,4.428026486467933
579.0,2.1714705680036714,4.430723515993238,2.264658690408568,4.443602940827736,2.244800768973102,4.410631525421216,2.2729262064791382,4.456542518685218,2.266881832709306,4.446894536086982,2.2653013463092395,4.443837875933885,2.235331497747473,4.397637581939036,2.2443172103554336,4.410637207004544,2.248759790756899,4.419084923208529,2.2570250164883743,4.4306681223717,2.2503858143912883,4.420548344302592,2.2550388174618825,4.428008557578144
